sqft,bedrooms,age_years,price
1539,2,20,226931.93
873,1,45,111913.07
1223,2,22,171497.24
1831,2,47,229443.92
2429,1,29,273835.2
735,2,14,132041.4
1018,2,29,121781.49
899,3,19,130665.75
2188,2,28,269254.01
2142,3,23,274982.02
3278,3,15,429978.23
1308,3,26,165083.08
3138,4,14,422528.68
1813,3,8,251812.64
2018,1,48,254707.78
2888,3,17,384246.32
1616,4,29,204311.96
3340,4,35,436541.81
788,3,32,139831.59
1425,4,44,195033.26
1606,4,18,219984.11
1233,3,6,174973.52
1318,4,46,174922.63
1765,3,44,228958.88
2976,5,14,395371.93
3164,3,8,420420.51
1111,3,33,178386.47
1129,3,0,176193.7
1815,3,30,239203.18
3092,1,23,388185.83
3126,5,20,415602.25
2439,1,10,314006.84
3456,4,8,455605.63
601,2,27,92949.23
3352,1,4,426284.45
2440,3,30,328054.31
1975,2,42,260428.88
2003,2,7,267277.67
2774,3,24,354729.87
1195,5,18,175884.52
2601,1,38,310995.24
864,3,26,146121.28
3234,3,39,387163.04
1556,3,31,205979.49
2886,3,40,373517.8
1258,5,25,175554.34
2720,1,40,321646.3
2355,3,22,311966.29
3317,3,48,407453.76
1258,3,17,187825.65
2000,1,24,238680.22
846,2,45,92378.33
2869,3,24,380472.45
1564,4,23,242253.07
2756,2,36,346733.39
1038,4,40,157041.63
1024,4,33,144451.66
980,1,40,132822.87
2706,2,26,354422.24
3128,3,1,408675.49
1217,5,12,187079.04
1815,2,3,242494.35
2746,4,33,365771.55
2999,5,7,398099.72
1040,5,1,172201.74
611,2,9,102623.96
1973,2,28,247095.25
2211,2,44,287203.14
765,3,14,125791.75
2229,2,22,273333.01
2376,5,30,328142.28
2074,4,25,292564.3
1318,5,44,199856.51
2223,3,42,281453.9
998,2,20,133551.24
1842,3,33,259921.05
2873,2,47,345148.82
1334,2,48,158093.47
1237,2,20,133188.73
3014,2,35,378087.87
