tumor_size_cm,cell_irregularity,malignant
0.73,1.83,0
1.2,2.45,0
1.16,2.42,0
5.06,6.47,1
2.34,1.36,0
3.54,2.27,0
4.15,5.61,1
1.79,2.45,0
2.01,2.7,0
0.93,3.06,0
3.9,5.09,1
3.88,6.21,1
6.03,5.95,1
4.27,6.66,1
2.93,3.08,0
2.34,1.85,0
4.52,5.97,1
2.57,2.02,0
4.25,6.23,1
4.61,5.22,1
1.23,4.29,0
4.94,6.51,1
3.0,3.03,0
1.39,2.18,0
1.96,2.08,0
5.12,6.7,1
1.8,4.61,0
3.94,7.96,1
1.07,3.47,0
6.45,7.78,1
1.95,3.88,0
1.93,2.8,0
1.61,2.2,0
3.89,6.79,1
3.46,6.13,1
4.69,6.53,1
4.75,5.31,1
1.91,0.6,0
3.18,1.99,0
4.17,6.22,1
2.43,2.36,0
4.43,7.86,1
4.37,6.6,1
5.02,6.3,1
5.16,4.9,1
2.35,2.23,0
1.92,3.36,0
2.26,3.19,0
5.01,6.7,1
5.66,5.82,1
4.12,5.72,1
3.31,2.7,0
4.66,5.95,1
3.21,6.18,1
2.24,2.5,0
4.36,3.86,1
4.09,4.3,1
3.77,7.22,1
5.07,5.25,1
5.18,5.01,1
3.72,6.89,1
5.5,6.69,1
5.44,4.89,1
1.93,1.45,0
2.13,2.22,0
5.57,6.25,1
2.12,3.73,0
0.98,1.31,0
2.51,2.55,0
4.64,6.58,1
4.04,5.09,1
3.95,7.31,1
1.01,3.11,0
5.08,5.33,1
4.32,6.49,1
2.61,1.17,0
5.11,5.75,1
1.54,2.7,0
1.28,3.08,0
1.54,3.9,0
4.2,6.12,1
2.12,2.33,0
3.88,5.63,1
4.93,6.06,1
3.12,2.73,0
2.12,2.69,0
3.44,6.47,1
5.21,3.64,1
4.78,7.08,1
2.68,2.56,0
4.77,6.72,1
1.76,1.58,0
4.53,5.0,1
4.78,5.76,1
4.43,5.48,1
1.07,1.25,0
0.88,1.81,0
5.34,5.62,1
4.86,7.54,1
3.7,4.76,1
