x,y
6.39,30.55
2.23,14.99
7.36,31.35
0.87,7.21
4.22,22.81
5.05,24.87
0.27,8.63
5.45,28.14
2.2,12.39
0.06,5.76
8.06,34.77
1.55,11.13
9.57,40.15
0.97,10.96
8.47,34.48
7.3,30.9
5.36,27.2
5.52,26.07
8.29,33.82
5.77,25.17
7.05,32.71
2.89,17.42
0.8,9.87
2.78,17.42
6.36,28.31
2.1,15.43
2.67,18.34
6.09,27.47
1.71,12.87
3.79,19.38
9.9,40.43
6.85,29.5
8.43,36.68
0.32,7.05
3.15,17.91
9.43,41.03
8.76,36.79
3.96,22.87
9.15,37.89
2.47,15.95
5.61,26.48
8.98,40.41
3.99,21.96
5.1,29.95
0.91,10.88
6.27,29.16
7.92,34.24
3.82,20.63
9.96,37.93
8.61,36.41
0.11,6.97
5.37,23.56
2.67,15.88
4.35,21.66
4.54,25.83
2.63,15.33
5.01,25.97
8.71,40.47
2.98,16.11
1.53,10.78
